Year,Category,Total_Count,Match_Rate(%),Listed_Count,Unlisted_Count,Listed_Societies(O),Unlisted_Societies(X)
2023,건축공학,21,90.5,19,2,"1. 한국콘크리트학회
2. 한국해안해양공학회
3. 대한국토·도시계획학회
4. 대한토목학회
5. 한국지반환경공학회
6. 한국지반공학회
7. 대한건축학회
8. 한국암반공학회
9. 한국지반신소재학회
10. 대한환경공학회
11. 한국건축친환경설비학회
12. 한국강구조학회
13. 한국측량학회
14. 한국지열·수열에너지학회
15. 대한공간정보학회
16. 한국생태환경건축학회
17. 한국건설순환자원학회
18. 한국자원공학회
19. 한국가스학회","1. 새건축사협의회
2. 서울대학교 환경대학원"
2023,공학 일반,3,100,3,0,"1. 한국산학기술학회
2. 한국산업정보학회
3. 한국센서학회",-
2023,기계공학,28,71.4,20,8,"1. 한국표면공학회
2. 대한용접·접합학회
3. 한국전산유체공학회
4. 대한기계학회
5. 한국생산제조학회
6. 한국마린엔지니어링학회
7. 대한설비공학회
8. 한국자동차공학회
9. 항공우주시스템공학회
10. 한국트라이볼로지학회
11. 한국유체기계학회
12. 한국비파괴검사학회
13. 한국항공우주학회
14. 한국추진공학회
15. 한국소음진동공학회
16. 한국기계가공학회
17. 한국수소및신에너지학회
18. 한국연소학회
19. 한국에너지기후변화학회
20. 한국동력기계공학회","1. 유공압건설기계학회
2. (사)한국CDE학회
3. Korean Society for Precision Engineering
4. 한국자동차안전학회
5. 한국기계연구원
6. 한국항공우주연구원
7. 한국환경에너지공학회
8. 한국항공협회"
2023,기타 공학,5,80,4,1,"1. 한국재활복지공학회
2. 한국철도학회
3. 한국위험물학회
4. 대한교통학회",1. 한국게임학회
2023,산업공학,5,100,5,0,"1. 한국신뢰성학회
2. 한국지능정보시스템학회
3. 대한산업공학회
4. 대한인간공학회
5. 한국SCM학회",-
2023,재료·에너지공학,7,85.7,6,1,"1. 한국태양에너지학회
2. 한국신재생에너지학회
3. 한국에너지학회
4. 한국태양광발전학회
5. 한국소성·가공학회
6. 한국압력기기공학회",1. 한국염색가공학회
2023,전기전자공학,24,75,18,6,"1. 한국멀티미디어학회
2. 대한전기학회
3. 한국전자파학회
4. 한국통신학회
5. 한국정보통신학회
6. 한국도시철도학회
7. 한국조명·전기설비학회
8. 대한전자공학회
9. 한국정보기술학회
10. 한국지능시스템학회
11. 국제인공지능학회
12. 전력전자학회
13. 한국전기전자학회
14. 한국방송·미디어공학회
15. 한국정보전자통신기술학회
16. 제어로봇시스템학회
17. 한국가시화정보학회
18. 한국로봇학회","1. 한국정보통신학회JICCE
2. 한국전지학회
3. 한국콘텐츠학회(IJOC)
4. 한국로봇학회(논문지)
5. 국방로봇학회
6. 한국전자파학회JEES"
2023,조선해양공학,3,66.7,2,1,"1. 대한조선학회
2. 한국해양공학회",1. 한국해양환경·에너지학회
2023,컴퓨터학,8,62.5,5,3,"1. 한국컴퓨터정보학회
2. 한국전자거래학회
3. 한국디지털콘텐츠학회
4. 한국정보보호학회
5. 한국디지털포렌식학회","1. Korean Institute of Information Scientists and Engineers
2. ICT플랫폼학회
3. 한국컴퓨터그래픽스학회"
2023,화학공학,3,100,3,0,"1. 한국생물공학회
2. 한국고분자학회
3. 한국청정기술학회",-
2024,건축공학,21,90.5,19,2,"1. 한국콘크리트학회
2. 한국지반환경공학회
3. 대한건축학회
4. 대한토목학회
5. 대한환경공학회
6. 한국가스학회
7. 한국강구조학회
8. 한국지반공학회
9. 한국건축친환경설비학회
10. 한국자원공학회
11. 대한국토·도시계획학회
12. 한국해안해양공학회
13. 한국지반신소재학회
14. 한국생태환경건축학회
15. 한국암반공학회
16. 한국측량학회
17. 한국건설순환자원학회
18. 대한공간정보학회
19. 한국지열·수열에너지학회","1. 새건축사협의회
2. 서울대학교 환경대학원"
2024,공학 일반,3,100,3,0,"1. 한국산학기술학회
2. 한국산업정보학회
3. 한국센서학회",-
2024,기계공학,27,74.1,20,7,"1. 한국수소및신에너지학회
2. 대한기계학회
3. 대한설비공학회
4. 한국기계가공학회
5. 한국자동차공학회
6. 한국항공우주학회
7. 한국소음진동공학회
8. 대한용접·접합학회
9. 한국유체기계학회
10. 한국표면공학회
11. 한국마린엔지니어링학회
12. 한국에너지기후변화학회
13. 한국추진공학회
14. 항공우주시스템공학회
15. 한국생산제조학회
16. 한국트라이볼로지학회
17. 한국비파괴검사학회
18. 한국동력기계공학회
19. 한국전산유체공학회
20. 한국연소학회","1. 한국자동차안전학회
2. 한국환경에너지공학회
3. (사)한국CDE학회
4. 한국항공우주연구원
5. Korean Society for Precision Engineering
6. 한국기계연구원
7. 유공압건설기계학회"
2024,기타 공학,5,80,4,1,"1. 한국철도학회
2. 대한교통학회
3. 한국재활복지공학회
4. 한국위험물학회",1. 한국게임학회
2024,산업공학,5,100,5,0,"1. 대한산업공학회
2. 대한인간공학회
3. 한국신뢰성학회
4. 한국SCM학회
5. 한국지능정보시스템학회",-
2024,재료·에너지공학,6,100,6,0,"1. 한국태양에너지학회
2. 한국신재생에너지학회
3. 한국에너지학회
4. 한국태양광발전학회
5. 한국소성·가공학회
6. 한국압력기기공학회",-
2024,전기전자공학,24,79.2,19,5,"1. 대한전자공학회
2. 한국방송·미디어공학회
3. 한국정보기술학회
4. 한국통신학회
5. 전력전자학회
6. 한국전자파학회
7. 한국지능시스템학회
8. 한국정보통신학회
9. 대한전기학회
10. 국제인공지능학회
11. 제어로봇시스템학회
12. 한국멀티미디어학회
13. 한국조명·전기설비학회
14. 국방로봇학회
15. 한국로봇학회
16. 한국정보전자통신기술학회
17. 한국도시철도학회
18. 한국전기전자학회
19. 한국가시화정보학회","1. 한국로봇학회(논문지)
2. 한국정보통신학회JICCE
3. 한국전지학회
4. 한국전자파학회JEES
5. 한국콘텐츠학회(IJOC)"
2024,조선해양공학,3,66.7,2,1,"1. 한국해양공학회
2. 대한조선학회",1. 한국해양환경·에너지학회
2024,컴퓨터학,8,62.5,5,3,"1. 한국컴퓨터정보학회
2. 한국디지털콘텐츠학회
3. 한국정보보호학회
4. 한국디지털포렌식학회
5. 한국전자거래학회","1. Korean Institute of Information Scientists and Engineers
2. 한국컴퓨터그래픽스학회
3. ICT플랫폼학회"
2024,화학공학,3,100,3,0,"1. 한국생물공학회
2. 한국청정기술학회
3. 한국고분자학회",-
2025,건축공학,20,95,19,1,"1. 한국지반공학회
2. 대한건축학회
3. 한국가스학회
4. 한국건설순환자원학회
5. 대한국토·도시계획학회
6. 대한토목학회
7. 한국콘크리트학회
8. 한국건축친환경설비학회
9. 한국지반환경공학회
10. 한국지열·수열에너지학회
11. 한국해안해양공학회
12. 한국생태환경건축학회
13. 한국강구조학회
14. 한국측량학회
15. 대한공간정보학회
16. 대한환경공학회
17. 한국자원공학회
18. 한국지반신소재학회
19. 한국암반공학회",1. 서울대학교 환경대학원
2025,공학 일반,3,100,3,0,"1. 한국산학기술학회
2. 한국산업정보학회
3. 한국센서학회",-
2025,기계공학,28,71.4,20,8,"1. 한국수소및신에너지학회
2. 한국동력기계공학회
3. 한국표면공학회
4. 한국전산유체공학회
5. 한국소음진동공학회
6. 대한설비공학회
7. 한국자동차공학회
8. 한국생산제조학회
9. 한국유체기계학회
10. 대한기계학회
11. 한국추진공학회
12. 한국항공우주학회
13. 대한용접·접합학회
14. 한국기계가공학회
15. 항공우주시스템공학회
16. 한국비파괴검사학회
17. 한국마린엔지니어링학회
18. 한국트라이볼로지학회
19. 한국연소학회
20. 한국에너지기후변화학회","1. 유공압건설기계학회
2. Korean Society for Precision Engineering
3. (사)한국CDE학회
4. 한국환경에너지공학회
5. 한국자동차안전학회
6. 세종대학교 우주항공산업연구소
7. 한국항공우주연구원
8. 한국기계연구원"
2025,기타 공학,5,80,4,1,"1. 대한교통학회
2. 한국철도학회
3. 한국재활복지공학회
4. 한국위험물학회",1. 한국게임학회
2025,산업공학,5,100,5,0,"1. 한국신뢰성학회
2. 대한산업공학회
3. 대한인간공학회
4. 한국SCM학회
5. 한국지능정보시스템학회",-
2025,재료·에너지공학,6,100,6,0,"1. 한국태양에너지학회
2. 한국태양광발전학회
3. 한국에너지학회
4. 한국신재생에너지학회
5. 한국소성·가공학회
6. 한국압력기기공학회",-
2025,전기전자공학,24,79.2,19,5,"1. 한국로봇학회
2. 한국지능시스템학회
3. 한국통신학회
4. 한국정보통신학회
5. 대한전자공학회
6. 제어로봇시스템학회
7. 대한전기학회
8. 전력전자학회
9. 국방로봇학회
10. 한국정보전자통신기술학회
11. 한국전자파학회
12. 한국방송·미디어공학회
13. 한국정보기술학회
14. 한국멀티미디어학회
15. 한국조명·전기설비학회
16. 국제인공지능학회
17. 한국도시철도학회
18. 한국전기전자학회
19. 한국가시화정보학회","1. 한국정보통신학회JICCE
2. 한국콘텐츠학회(IJOC)
3. 한국전자파학회JEES
4. 한국로봇학회(논문지)
5. 한국전지학회"
2025,조선해양공학,3,66.7,2,1,"1. 대한조선학회
2. 한국해양공학회",1. 한국해양환경·에너지학회
2025,컴퓨터학,8,62.5,5,3,"1. 한국컴퓨터정보학회
2. 한국정보보호학회
3. 한국디지털콘텐츠학회
4. 한국디지털포렌식학회
5. 한국전자거래학회","1. Korean Institute of Information Scientists and Engineers
2. ICT플랫폼학회
3. 한국컴퓨터그래픽스학회"
2025,화학공학,3,100,3,0,"1. 한국고분자학회
2. 한국청정기술학회
3. 한국생물공학회",-
